Temperature,Sediment,Time ,Status
26,30,1,1
26,30,1,1
26,30,1,1
26,30,1,1
26,30,1,1
26,30,1,1
26,30,1,1
26,30,1,1
26,30,1,1
26,30,1,1
26,30,1,1
26,30,1,1
26,30,1,1
26,30,1,1
26,30,1,1
26,30,1,1
26,30,1,1
26,30,1,1
26,30,1,1
26,30,1,1
26,30,1,1
26,30,1,1
26,30,1,1
26,30,1,1
26,30,1,1
26,30,1,1
26,30,1,1
26,30,1,1
26,30,1,1
26,30,1,1
26,30,1,1
26,30,1,1
26,30,1,1
26,30,1,1
26,30,1,1
26,30,1,1
26,30,1,1
26,30,1,1
26,30,1,1
26,30,1,1
26,30,1,1
26,30,1,1
26,30,1,1
26,30,1,1
26,30,2,1
26,30,2,1
26,30,2,1
26,30,2,1
26,30,2,1
26,30,2,1
26,30,2,1
26,30,2,1
26,30,2,1
26,30,2,1
26,30,2,1
26,30,2,1
26,30,2,1
26,30,2,1
26,30,2,1
26,30,2,1
26,30,2,1
26,30,2,1
26,30,2,1
26,30,2,1
26,30,2,1
26,30,2,1
26,30,2,1
26,30,2,1
26,30,2,1
26,30,2,1
26,30,2,1
26,30,3,1
26,30,3,1
26,30,3,1
26,30,3,1
26,30,3,1
26,30,3,1
26,30,3,1
26,30,3,1
26,30,3,1
26,30,3,1
26,30,3,1
26,30,3,1
26,30,3,1
26,30,3,1
26,30,3,1
26,30,4,1
26,30,4,1
26,30,4,1
26,30,4,1
26,30,4,1
26,30,4,1
26,30,4,1
26,30,4,1
26,30,4,1
26,30,4,1
26,30,4,1
26,30,4,1
26,30,4,1
26,30,4,1
26,30,4,1
26,30,4,1
26,30,4,1
26,30,4,1
26,30,4,1
26,30,4,1
26,30,4,1
26,30,4,1
26,30,5,1
26,30,5,1
26,30,5,1
26,30,5,1
26,30,5,1
26,30,5,1
26,30,5,1
26,30,5,1
26,30,5,1
26,30,5,1
26,30,5,1
26,30,5,1
26,30,5,1
26,30,6,1
26,30,6,1
26,30,6,1
26,30,6,1
26,30,6,1
26,30,6,1
26,30,6,1
26,30,6,1
26,30,6,1
26,30,6,1
26,30,6,1
26,30,6,1
26,30,6,1
26,30,6,1
26,30,7,1
26,30,7,1
26,30,7,1
26,30,7,1
26,30,7,1
26,30,7,1
26,30,7,1
26,30,8,1
26,30,9,1
26,30,9,1
26,30,11,1
26,30,12,1
26,30,12,1
26,60,1,1
26,60,1,1
26,60,1,1
26,60,1,1
26,60,1,1
26,60,1,1
26,60,1,1
26,60,1,1
26,60,1,1
26,60,1,1
26,60,1,1
26,60,1,1
26,60,1,1
26,60,1,1
26,60,1,1
26,60,1,1
26,60,1,1
26,60,1,1
26,60,1,1
26,60,1,1
26,60,1,1
26,60,1,1
26,60,1,1
26,60,1,1
26,60,1,1
26,60,1,1
26,60,1,1
26,60,1,1
26,60,2,1
26,60,2,1
26,60,2,1
26,60,2,1
26,60,2,1
26,60,2,1
26,60,2,1
26,60,2,1
26,60,2,1
26,60,2,1
26,60,2,1
26,60,2,1
26,60,2,1
26,60,2,1
26,60,2,1
26,60,2,1
26,60,2,1
26,60,2,1
26,60,3,1
26,60,3,1
26,60,3,1
26,60,3,1
26,60,3,1
26,60,3,1
26,60,3,1
26,60,4,1
26,60,4,1
26,60,4,1
26,60,4,1
26,60,4,1
26,60,4,1
26,60,4,1
26,60,4,1
26,60,4,1
26,60,4,1
26,60,4,1
26,60,4,1
26,60,4,1
26,60,4,1
26,60,4,1
26,60,4,1
26,60,4,1
26,60,5,1
26,60,5,1
26,60,5,1
26,60,5,1
26,60,5,1
26,60,5,1
26,60,5,1
26,60,5,1
26,60,5,1
26,60,5,1
26,60,5,1
26,60,5,1
26,60,5,1
26,60,5,1
26,60,5,1
26,60,5,1
26,60,5,1
26,60,5,1
26,60,6,1
26,60,6,1
26,60,6,1
26,60,6,1
26,60,6,1
26,60,6,1
26,60,6,1
26,60,6,1
26,60,6,1
26,60,6,1
26,60,6,1
26,60,6,1
26,60,6,1
26,60,6,1
26,60,6,1
26,60,6,1
26,60,6,1
26,60,6,1
26,60,6,1
26,60,6,1
26,60,6,1
26,60,7,1
26,60,7,1
26,60,7,1
26,60,7,1
26,60,7,1
26,60,7,1
26,60,7,1
26,60,7,1
26,60,8,1
26,60,8,1
26,60,8,1
26,60,8,1
26,60,8,1
26,60,8,1
26,60,8,1
26,60,8,1
26,60,9,1
26,60,9,1
26,60,9,1
26,60,9,1
26,60,11,1
26,60,11,1
26,60,11,1
26,60,11,1
26,60,11,1
26,60,11,1
26,60,11,1
26,60,11,1
26,60,12,1
26,60,12,1
26,60,12,0
26,60,12,0
26,60,12,0
26,60,12,0
26,60,12,0
26,60,12,0
26,60,12,0
26,60,12,0
26,60,12,0
26,60,12,0
26,60,12,0
26,90,1,1
26,90,1,1
26,90,1,1
26,90,1,1
26,90,1,1
26,90,1,1
26,90,1,1
26,90,1,1
26,90,1,1
26,90,1,1
26,90,1,1
26,90,1,1
26,90,1,1
26,90,1,1
26,90,1,1
26,90,1,1
26,90,1,1
26,90,1,1
26,90,1,1
26,90,1,1
26,90,1,1
26,90,1,1
26,90,1,1
26,90,1,1
26,90,1,1
26,90,1,1
26,90,1,1
26,90,1,1
26,90,1,1
26,90,1,1
26,90,1,1
26,90,1,1
26,90,2,1
26,90,2,1
26,90,2,1
26,90,2,1
26,90,2,1
26,90,2,1
26,90,2,1
26,90,2,1
26,90,2,1
26,90,3,1
26,90,3,1
26,90,3,1
26,90,3,1
26,90,3,1
26,90,3,1
26,90,3,1
26,90,3,1
26,90,3,1
26,90,3,1
26,90,3,1
26,90,3,1
26,90,4,1
26,90,4,1
26,90,4,1
26,90,4,1
26,90,4,1
26,90,4,1
26,90,4,1
26,90,4,1
26,90,4,1
26,90,4,1
26,90,4,1
26,90,4,1
26,90,4,1
26,90,4,1
26,90,4,1
26,90,4,1
26,90,4,1
26,90,4,1
26,90,4,1
26,90,4,1
26,90,4,1
26,90,5,1
26,90,5,1
26,90,5,1
26,90,5,1
26,90,5,1
26,90,5,1
26,90,5,1
26,90,5,1
26,90,5,1
26,90,5,1
