partID,time,status
1,0.04,fail
2,0.301,fail
3,0.309,fail
4,0.557,fail
5,0.943,fail
6,1.07,fail
7,1.124,fail
8,1.248,fail
9,1.281,fail
10,1.281,fail
11,1.303,fail
12,1.432,fail
13,1.48,fail
14,1.505,fail
15,1.506,fail
16,1.568,fail
17,1.615,fail
18,1.619,fail
19,1.652,fail
20,1.652,fail
21,1.757,fail
22,1.795,fail
23,1.866,fail
24,1.876,fail
25,1.899,fail
26,1.911,fail
27,1.912,fail
28,1.914,fail
29,1.981,fail
30,2.01,fail
31,2.038,fail
32,2.085,fail
33,2.089,fail
34,2.097,fail
35,2.135,fail
36,2.154,fail
37,2.19,fail
38,2.194,fail
39,2.223,fail
40,2.224,fail
41,2.229,fail
42,2.3,fail
43,2.324,fail
44,2.349,fail
45,2.385,fail
46,2.481,fail
47,2.61,fail
48,2.625,fail
49,2.632,fail
50,2.646,fail
51,2.661,fail
52,2.688,fail
53,2.823,fail
54,2.89,fail
55,2.902,fail
56,2.934,fail
57,2.962,fail
58,2.964,fail
59,3,fail
60,3.103,fail
61,3.114,fail
62,3.117,fail
63,3.166,fail
64,3.344,fail
65,3.376,fail
66,3.385,fail
67,3.443,fail
68,3.467,fail
69,3.478,fail
70,3.578,fail
71,3.595,fail
72,3.699,fail
73,3.779,fail
74,3.924,fail
75,4.035,fail
76,4.121,fail
77,4.167,fail
78,4.24,fail
79,4.255,fail
80,4.278,fail
81,4.305,fail
82,4.376,fail
83,4.449,fail
84,4.485,fail
85,4.57,fail
86,4.602,fail
87,4.663,fail
88,4.694,fail
89,0.046,service
90,0.14,service
91,0.15,service
92,0.248,service
93,0.28,service
94,0.313,service
95,0.389,service
96,0.487,service
97,0.622,service
98,0.9,service
99,0.952,service
100,0.996,service
101,1.003,service
102,1.01,service
103,1.085,service
104,1.092,service
105,1.152,service
106,1.183,service
107,1.244,service
108,1.249,service
109,1.262,service
110,1.36,service
111,1.436,service
112,1.492,service
113,1.58,service
114,1.719,service
115,1.794,service
116,1.915,service
117,1.92,service
118,1.963,service
119,1.978,service
120,2.053,service
121,2.065,service
122,2.117,service
123,2.137,service
124,2.141,service
125,2.163,service
126,2.183,service
127,2.24,service
128,2.341,service
129,2.435,service
130,2.464,service
131,2.543,service
132,2.56,service
133,2.592,service
134,2.6,service
135,2.67,service
136,2.717,service
137,2.819,service
138,2.82,service
139,2.878,service
140,2.95,service
141,3.003,service
142,3.102,service
143,3.304,service
144,3.483,service
145,3.5,service
146,3.622,service
147,3.665,service
148,3.695,service
149,4.015,service
150,4.628,service
151,4.806,service
152,4.881,service
153,5.14,service
