Hours,Status,Weight,Temp,Censor,x
5000,Censored,30,10,1,40.9836416
1298,Failed,1,40,0,37.0573786
1390,Failed,1,40,0,37.0573786
3187,Failed,1,40,0,37.0573786
3241,Failed,1,40,0,37.0573786
3261,Failed,1,40,0,37.0573786
3313,Failed,1,40,0,37.0573786
4501,Failed,1,40,0,37.0573786
4568,Failed,1,40,0,37.0573786
4841,Failed,1,40,0,37.0573786
4982,Failed,1,40,0,37.0573786
5000,Censored,90,40,1,37.0573786
581,Failed,1,60,0,34.8327124
925,Failed,1,60,0,34.8327124
1432,Failed,1,60,0,34.8327124
1586,Failed,1,60,0,34.8327124
2452,Failed,1,60,0,34.8327124
2734,Failed,1,60,0,34.8327124
2772,Failed,1,60,0,34.8327124
4106,Failed,1,60,0,34.8327124
4674,Failed,1,60,0,34.8327124
5000,Censored,11,60,1,34.8327124
283,Failed,1,80,0,32.8600258
361,Failed,1,80,0,32.8600258
515,Failed,1,80,0,32.8600258
638,Failed,1,80,0,32.8600258
854,Failed,1,80,0,32.8600258
1024,Failed,1,80,0,32.8600258
1030,Failed,1,80,0,32.8600258
1045,Failed,1,80,0,32.8600258
1767,Failed,1,80,0,32.8600258
1777,Failed,1,80,0,32.8600258
1856,Failed,1,80,0,32.8600258
1951,Failed,1,80,0,32.8600258
1964,Failed,1,80,0,32.8600258
2884,Failed,1,80,0,32.8600258
5000,Censored,1,80,1,32.8600258
